corregimiento,casos
Omar Torrijos,78
Arraijan,42
Tocumen,42
Pedregal,41
24 de Diciembre,38
Puerto Caimito,38
Sabanitas,36
Pacora,34
Vista Alegre,32
Juan Diaz,31
Belisario Frias,27
Cativa,25
Playa Leona,25
Herrera,23
Jirondai,23
Guadalupe,22
Belisario Porras,21
Canita,21
Cristobal,21
Cristobal Este,21
El Chorrillo,21
Muna,21
Parque Lefevre,20
Arnulfo Arias Madrid,19
Barrio Colon,19
Mananitas,19
Buena Vista,17
Chilibre,16
Ernesto C. Campos,16
Las Cumbres,15
Don Bosco,14
Bella Vista,13
Jose D. Espinar,13
Santa Ana,13
Chepo,12
Juan D. Arosemena,12
Juan (Colon),12
Amelia D. Icaza, 11
Nurum,11
